id,journaltitle,url,added_date
116,Asian Online Journal Publishing Group,http://www.asianonlinejournals.com/,6/13/20 6:49 PM
117,Asian Online Journals,http://www.ajouronline.com/,6/13/20 6:49 PM
118,Asian Pharma Press,http://www.asianpharmaonline.org/,6/13/20 6:49 PM
119,Asian Publication Corporation (Asian Pub. Corp.),http://asianpubs.org/content/,6/13/20 6:49 PM
120,Asian Research Consortium,http://www.aijsh.org/?task=index,6/13/20 6:49 PM
121,Asian Transactions,http://www.asian-transactions.org/,6/13/20 6:49 PM
122,Associated Asia Research Foundation (AARF),http://www.aarf.asia/,6/13/20 6:49 PM
123,"Association for Sustainable Education, Research and Science (ASERS)",http://www.asers.eu/asers-publishing/journals.html,6/13/20 6:49 PM
124,Association of Computer Electronics and Electrical Engineers (ACEEE),http://www.theaceee.org/,6/13/20 6:49 PM
125,Association of North America Higher Education International (ANAHEI),http://anahei.org/,6/13/20 6:49 PM
126,Aster Publications,http://asterpublications.org/,6/13/20 6:49 PM
127,AstonJournals,http://astonjournals.com/,6/13/20 6:49 PM
128,Athal Press & Media,http://www.athalgroup.com/Athal-Press-and-Media.aspx,6/13/20 6:49 PM
129,Atharva Scientific Publications,http://www.atharvapub.com/HomePage/,6/13/20 6:49 PM
130,Athens Institute for Education and Research (ATINER),http://www.atiner.gr/,6/13/20 6:49 PM
131,"Atlas Publishing, LP",http://www.atlas-publishing.org/index.php,6/13/20 6:49 PM
132,Aufau Periodicals (AP),http://www.chesci.com/,6/13/20 6:49 PM
133,Austin Publishing Group,http://austinpublishinggroup.org/,6/13/20 6:49 PM
134,Australasian Centre for Research and Development (ACRD),http://www.acrd.net.au/,6/13/20 6:49 PM
135,Australian Academy of Business and Social Sciences,http://www.aabss.org.au/,6/13/20 6:49 PM
136,Australian Academy of Business Leadership,http://aabl.com.au/,6/13/20 6:49 PM
137,Australian International Academic Centre Pty. Ltd.,http://www.aiac.org.au/,6/13/20 6:49 PM
138,Australian International Research Consortium (Australian International Journals),http://www.ausinternationaljournals.com.au/,6/13/20 6:49 PM
139,Australian Society for Commerce Industry & Engineering (SCIE),http://www.scie.org.au/,6/13/20 6:49 PM
140,Austrian E-Journals of Universal Scientific Organization,http://www.aeuso.org/,6/13/20 6:49 PM
141,Austrian Scientific Publication House,http://www.autpub.org/MWP/,6/13/20 6:49 PM
142,Avanti Publishers.com,http://www.avantipublishers.com/,6/13/20 6:49 PM
143,Avens Publishing Group,http://www.avensonline.org/,6/13/20 6:49 PM
144,Avestia Publishing,http://avestia.com/,6/13/20 6:49 PM
145,Avicena Publisher,http://www.avicenapublisher.org/,6/13/20 6:49 PM
146,Avid Science,http://avidscience.com/,6/13/20 6:49 PM
147,Axis Journals,http://www.axisjournals.com/,6/13/20 6:49 PM
148,Baishideng Publishing Group,http://www.wjgnet.com/,6/13/20 6:49 PM
149,Basha Research Corporation (BRCORP),http://basharesearch.com/journals.htm,6/13/20 6:49 PM
150,Basic Research Journals,http://basicresearchjournals.org/index.html,6/13/20 6:49 PM
151,Bell Press,http://bellpress.org/,6/13/20 6:49 PM
152,Bentham Open,http://benthamopen.com/,6/13/20 6:49 PM
153,Best Journals,http://www.bestjournals.in/index.php,6/13/20 6:49 PM
154,Better Advances Press,http://www.bapress.ca/index.html,6/13/20 6:49 PM
155,Betty Jones & Sisters Publishing,http://bettyjonespub.com/,6/13/20 6:49 PM
156,Binary Information Press,http://www.1010press.com/,6/13/20 6:49 PM
157,Bio Accent (Bioaccent),http://bioaccent.org/,6/13/20 6:49 PM
158,Bio Core (Biocore),http://biocoreopen.org/index.php,6/13/20 6:49 PM
159,Bioflux Society,http://www.bioflux.com.ro/,6/13/20 6:49 PM
160,Biohelikon,http://www.biohelikon.org/,6/13/20 6:49 PM
161,Biohouse Publishing Group,http://biohouse.us/,6/13/20 6:49 PM
162,BioInfo Publications,http://www.bioinfopublication.org/,6/13/20 6:49 PM
163,BioIT international Journals (Bi International Journals),http://bipublication.com/index.html,6/13/20 6:49 PM
164,Biological and Chemical Publishing,http://www.bacpl.org/,6/13/20 6:49 PM
165,BioMed Press,http://www.biomedpress.org/,6/13/20 6:49 PM
166,BioMed Research,http://bmrjournals.com/Home/Index,6/13/20 6:49 PM
167,BioMedSciDirect Publications,http://www.biomedscidirect.com/aboutjournal.php,6/13/20 6:49 PM
168,BioPublisher,http://biopublisher.ca/,6/13/20 6:49 PM
169,Bioscience Research & Educational Institute [Link dead as of 2012-11-14],http://www.bret.ac.in/,6/13/20 6:49 PM
170,Blaze Journals,http://blazejournals.org/index.php,6/13/20 6:49 PM
171,Blue Apple Publications,http://www.blue-ap.org/,6/13/20 6:49 PM
172,Blue Eyes Intelligence Engineering & Sciences Publication,http://blueeyesintelligence.org/,6/13/20 6:49 PM
173,Blue Ocean Research Journals,http://www.borjournals.com/,6/13/20 6:49 PM
174,BluePen Journals,http://www.bluepenjournals.org/,6/13/20 6:49 PM
175,Bonfring,http://www.bonfring.org/,6/13/20 6:49 PM
176,Bowen Publishing,http://www.bowenpublishing.com/,6/13/20 6:49 PM
177,Brainy Buzz,http://brainybuzz.in/,6/13/20 6:49 PM
178,Bret Research Journals,http://www.bretj.com/,6/13/20 6:49 PM
179,British Association of Academic Research (BAAR),http://www.bjmhs.baar.org.uk/,6/13/20 6:49 PM
180,British Journal,http://www.bjournal.co.uk/,6/13/20 6:49 PM
181,British Open Research Publications,http://www.borpub.com/index.php,6/13/20 6:49 PM
182,BRNSS Publication Hub,http://brnsspublicationhub.org/,6/13/20 6:49 PM
183,Business Journalz (BJ),http://www.businessjournalz.org/,6/13/20 6:49 PM
184,The Business Management Centre,http://www.bizmanagementcentre.com/,6/13/20 6:49 PM
185,Business Perspectives,http://businessperspectives.org/,6/13/20 6:49 PM
186,Cafet Innova Technical Society (CITS),http://cafetinnova.org/,6/13/20 6:49 PM
187,Cairo Center for Development Benchmarking,http://cdbenchmark.com/publishing,6/13/20 6:49 PM
188,Canadian Academy of Oriental and Occidental Culture see CSCanada,http://cscanada.net/,6/13/20 6:49 PM
189,Canadian Center of Science and Education,http://ccsenet.org/web/,6/13/20 6:49 PM
190,Canadian Research & Development Center of Sciences and Cultures  see CSCanada,http://cscanada.net/,6/13/20 6:49 PM
191,Canadian Research Publication,http://www.crpub.com/index.php,6/13/20 6:49 PM
192,Canadian Science and Research Group (CANSRG),http://www.cansrg.com/,6/13/20 6:49 PM
193,Canadian Science and Technology Press Inc.,http://canadianstpress.com/ojs/index.php,6/13/20 6:49 PM
194,Cardiology Academic Press,http://cardiologyacademicpress.com/,6/13/20 6:49 PM
195,CARI Journals,http://www.carijournals.org/,6/13/20 6:49 PM
196,Cenetri Publishing Group,https://www.cenetrionline.org/,6/13/20 6:49 PM
197,"Center for Enhancing Knowledge (CEK), UK",http://www.cekinfo.org.uk/,6/13/20 6:49 PM
198,Center for Global Research Development (CGRD),http://www.cgrd.org/,6/13/20 6:49 PM
199,The Center for Innovations in Business & Management Practice,http://www.cibmp.org/,6/13/20 6:49 PM
200,Center for Natural Science & Engineering Research (CNSER/CenNSER),http://cennser.org/,6/13/20 6:49 PM
201,Center for Promoting Ideas,http://www.cpinet.info/,6/13/20 6:49 PM
202,Center for the Development and Dissemination of Knowledge,http://www.cddk.org/index.html,6/13/20 6:49 PM
203,Center of Advanced Scientific Research and Publications (CASRP),http://casrp.co.uk/,6/13/20 6:49 PM
204,Central Bohemia University Publishing,http://journals.cz/,6/13/20 6:49 PM
205,Central Research Insight,http://cri.ideainfinity.pk/?p=1,6/13/20 6:49 PM
206,Centre For Info Bio Technology (CIBTech),http://www.cibtech.org/index.htm,6/13/20 6:49 PM
207,"Centre for Multidisciplinary Research, Innovation and Collaboration (C-MRiC.ORG)",http://www.c-mric.org/,6/13/20 6:49 PM
208,Centre for Promoting Knowledge (CPK) UK,http://www.ijsrit.com/page.php?cat=25,6/13/20 6:49 PM
209,Centre of Excellence for Scientific & Research Journalism (COES&RJ),http://www.centreofexcellence.net/,6/13/20 6:49 PM
210,Centre of Promoting Research Excellence (CPRE),http://cprenet.com/home/,6/13/20 6:49 PM
211,CESER Publications,http://www.ceser.in/,6/13/20 6:49 PM
212,Chitkara University Publications,http://www.chitkara.edu.in/publications/journals/,6/13/20 6:49 PM
213,CIRWORLD also here,https://beallslist.net/,6/13/20 6:49 PM
214,Clerisy Publishers,http://clerisyonlinepublishers.org/,6/13/20 6:49 PM
215,ClinMed International Library,http://clinmedjournals.org/,6/13/20 6:49 PM
216,Cloud Journals,http://cloud-journals.com/,6/13/20 6:49 PM
217,Cloud Publications,http://www.cloudpublications.org/,6/13/20 6:49 PM
218,The Clute Institute,http://www.cluteinstitute.com/,6/13/20 6:49 PM
219,Clyto Access,http://www.clytoaccess.com/,6/13/20 6:49 PM
220,Coltharp Institute,http://www.coltharpinstitute.com/,6/13/20 6:49 PM
221,Columbia International Publishing,http://www.uscip.org/,6/13/20 6:49 PM
222,Comparative Journals,http://comparativejournals.org/index.php/index,6/13/20 6:49 PM
223,Comprehensive Research Journals,https://comprehensiveresearchjournals.org/,6/13/20 6:49 PM
224,Computer Science Journals,http://www.cscjournals.org/,6/13/20 6:49 PM
225,CONFAB Journals,http://www.confabjournals.com/,6/13/20 6:49 PM
226,Congress Press,http://www.congresspress.com/Journals/index.php/index/index,6/13/20 6:49 PM
227,"CONSORTIUM Intellectual Consortium of Drug Discovery and Technology Development, Inc. (ICDTD Inc.)",http://www.icdtdi.ca/home.html,6/13/20 6:49 PM
228,Contemporary Research Center (CRC Publications),http://www.ijern.com/index.php,6/13/20 6:49 PM
229,Convergence Information Society,http://www.globalcis.org/eng/,6/13/20 6:49 PM
230,Cosmic Journals,http://cosmicjournals.com/,6/13/20 6:49 PM
231,Cosmos Scholars Publishing House,http://www.cosmosscholars.com/,6/13/20 6:49 PM
232,Council for Innovative Research,http://www.cirworld.net/,6/13/20 6:49 PM
233,CRDEEP International Journals,http://www.crdeep.com/,6/13/20 6:49 PM
234,Cresco Online Publishing also here,https://beallslist.net/,6/13/20 6:49 PM
235,CREST Journals,http://www.crestjournals.com/,6/13/20 6:49 PM
236,Crown Journals,http://www.crownjournals.org/,6/13/20 6:49 PM
237,CSCanada,http://cscanada.net/,6/13/20 6:49 PM
238,CTR Publications,http://tcrjournals.com/index.php,6/13/20 6:49 PM
239,Current Research Web,http://www.curresweb.com/,6/13/20 6:49 PM
240,Cyber Journals,http://www.cyberjournals.com/,6/13/20 6:49 PM
241,DAMA International,http://www.sciencejournal.in/home/,6/13/20 6:49 PM
242,Darsgah-e-Ahlebait,http://darsgah-e-ahlebait.com/journals.php,6/13/20 6:49 PM
243,Darshan Publishers,http://darshanpublishers.com/index.html,6/13/20 6:49 PM
244,David Publishing also here,https://beallslist.net/,6/13/20 6:49 PM
245,Deccan Pharma Journals,http://www.deccanpharmajournals.com/,6/13/20 6:49 PM
246,DeNovo Scientific Publishing,http://www.denovojournal.com/,6/13/20 6:49 PM
247,Dentamed Publishing,http://www.dentamedpublishing.com/,6/13/20 6:49 PM
248,Design for Scientific Renaissance,http://www.sign-ific-ance.co.uk/index.html,6/13/20 6:49 PM
249,"DEStech Publications, Inc.",http://www.destechpub.com/,6/13/20 6:49 PM
250,Developing Country Think Tank Institute,http://dcthink.org/,6/13/20 6:49 PM
251,Dhan Med Publishers,http://www.dhanmedpublishers.com/,6/13/20 6:49 PM
252,Didactic Journals,http://didacticjournals.org/,6/13/20 6:49 PM
253,Digital Information Research Foundation (DIRF),http://www.dirf.org/,6/13/20 6:49 PM
254,Digital Science Press,http://dscipress.com/,6/13/20 6:49 PM
255,Direct Research Journals,http://directresearchpublisher.org/,6/13/20 6:49 PM
256,DISA Publication Group (DP Group),http://www.disa.org.in/DPGroup/index.html,6/13/20 6:49 PM
257,Discourse Journals,http://www.resjournals.org/,6/13/20 6:49 PM
258,Discovery Publication,http://discoveryjournals.com/,6/13/20 6:49 PM
259,DJ Publications,http://www.djjames.org/,6/13/20 6:49 PM
260,Donnish Journals,http://donnishjournals.org/,6/13/20 6:49 PM
261,Dorma Journals,http://www.dormaj.com/,6/13/20 6:49 PM
262,Dr.BGR Publications,http://www.drbgrpublications.in/,6/13/20 6:49 PM
263,DRUNPP Sarajevo (Society for Development of Teaching and Business Processes in New Net Environment in B&H),http://www.drunpp.ba/,6/13/20 6:49 PM
264,Dynamic Publishers,http://www.dynamicpublishers.org/journals/index.php/index,6/13/20 6:49 PM
265,e-Century Publishing Corporation,http://www.e-century.org/,6/13/20 6:49 PM
266,E-Cronicon,https://www.ecronicon.com/,6/13/20 6:49 PM
267,e-journal (shankargargh.org) also (worldresearchjournals.com),http://worldresearchjournals.com/,6/13/20 6:49 PM
268,e-Science Central,http://esciencecentral.org/,6/13/20 6:49 PM
269,e3Journals,http://www.e3journals.org/index.php,6/13/20 6:49 PM
270,Eagle Publishing Group,http://eaglegp.org/,6/13/20 6:49 PM
271,Earth Journals,http://www.earthjournals.org/,6/13/20 6:49 PM
272,“East West” Association For Advanced Studies and Higher Education,http://ew-a.org/,6/13/20 6:49 PM
273,Ebioscholar,http://ebioscholar.com/ojs/index.php/index/index,6/13/20 6:49 PM
274,Ebu Press,http://www.ebupress.com/,6/13/20 6:49 PM
275,eCanadian Journals,http://www.ecanadianjournals.com/ecanadian/,6/13/20 6:49 PM
276,"Econjournals (note: all their journals are indexed by DOAJ, so it is most likely not predatory)",https://beallslist.net/,6/13/20 6:49 PM
277,The Economics and Social Development Organization (TESDO),http://www.tesdo.org/Default.aspx,6/13/20 6:49 PM
278,Edelweiss Publications,http://edelweisspublications.com/edelweiss/frontend/index.php,6/13/20 6:49 PM
279,EDUGAIT Press,http://www.edugait.com/,6/13/20 6:49 PM
280,E-International Journals of Academic & Scientific Research (EIJASR),http://eijasr.com/index.php,6/13/20 6:49 PM
281,E-International Scientific Research Journal Consortium (E-ISRJC),http://www.eisrjc.com/,6/13/20 6:49 PM
282,Eighth Sense Research Group,http://www.internationaljournalesrg.org/,6/13/20 6:49 PM
283,Einstein International Journal Organization (EIJO),http://www.eijo.in/,6/13/20 6:49 PM
284,EISRJC Journals (E-International Scientific Research Journal Consortium,http://www.eisrjc.com/,6/13/20 6:49 PM
285,"eJM (eJM Science, eJManager)",https://beallslist.net/,6/13/20 6:49 PM
286,eJournals of Academic Research & Reviews,http://www.ejarr.com/,6/13/20 6:49 PM
287,Eko Journal,http://www.ekojournal.com/,6/13/20 6:49 PM
288,eLearning Institute,http://www.theelearninginstitute.org/,6/13/20 6:49 PM
289,Electronic Center for International Scientific Information,http://ecisi.com/,6/13/20 6:49 PM
290,Elewa Bio Sciences,http://www.m.elewa.org/index.php,6/13/20 6:49 PM
291,Elite Hall Publishing House,http://elitehall.elitehall.com/,6/13/20 6:49 PM
292,Elite Research Journals,http://www.eliteresearchjournals.org/,6/13/20 6:49 PM
293,ELK Asia Pacific Journals,http://www.elkjournals.com/,6/13/20 6:49 PM
294,ElmCore Journals,http://www.science-fellows.org/,6/13/20 6:49 PM
295,Elmer Press,http://www.elmerpress.com/,6/13/20 6:49 PM
296,ELVEDIT.COM,http://elvedit.com/,6/13/20 6:49 PM
297,Elyns Publishing Group,http://www.elynsgroup.com/Default.aspx,6/13/20 6:49 PM
298,Emerging Academy Resources (EAR),http://www.emergingresource.org/index.html,6/13/20 6:49 PM
299,Engineering and Technology Publishing,http://etpub.com/,6/13/20 6:49 PM
300,Engineering Journals (Engg Journals Publications),http://www.enggjournals.com/,6/13/20 6:49 PM
301,Engineering Publication House,http://ephjournal.com/,6/13/20 6:49 PM
302,Engineering Research Publication,https://www.erpublication.org/,6/13/20 6:49 PM
303,Enhanced Research Publications (ER Publications),http://www.erpublications.com/,6/13/20 6:49 PM
304,Enliven Archive,http://www.enlivenarchive.org/,6/13/20 6:49 PM
305,Enriched Science Publication,http://www.printjournals.com/,6/13/20 6:49 PM
306,Enviro Publishers / Enviro Research Publishers,https://beallslist.net/,6/13/20 6:49 PM
307,ERM Publications (Educational Research Multimedia & Publications),http://www.researchersworld.com/ermp.html,6/13/20 6:49 PM
308,EPH Journal (Engineers Publication House),http://ephjournal.com/,6/13/20 6:49 PM
309,EPIX PUB (EPIXPUB),http://epixpub.com/,6/13/20 6:49 PM
310,EPRA Journals,http://eprajournals.com/,6/13/20 6:49 PM
311,EPRA Wisdom,http://eprawisdom.com/,6/13/20 6:49 PM
312,Erudite Journals Limited,http://eruditejournals.org/ejb/index.htm,6/13/20 6:49 PM
313,ESRSA Publication — Engineering and Science Research Support Academy,http://www.esrsa.org/,6/13/20 6:49 PM
314,ESci Journals Publishing,http://www.escijournals.net/,6/13/20 6:49 PM
315,eScience Publisher (eSciPub),http://escipub.com/,6/13/20 6:49 PM
316,ETA Maths Journals,http://etamaths.com/,6/13/20 6:49 PM
317,Ethan Publishing Company,http://www.ethanpublishing.com/,6/13/20 6:49 PM
318,Eurasian Academy of Sciences (Avrasya Bilimler Akademisi),http://eurasianacademy.org/,6/13/20 6:49 PM
319,"Eurasian Publications (note: all their journals are indexed by DOAJ, so it is most likely not a predatory publisher)",https://beallslist.net/,6/13/20 6:49 PM
320,Eurasian Research Publishing,http://www.erepub.com/,6/13/20 6:49 PM
321,Eurasian Union of Scientists (Eurasian Scientific Union ESU | Евразийский Союз Учёных ЕСУ),http://euroasia-science.ru/en/about/,6/13/20 6:49 PM
322,Euro Asia Research and Development Association,http://www.euroasiapub.org/,6/13/20 6:49 PM
323,EuroJournals,http://eurojournals.com/,6/13/20 6:49 PM
324,European-American Journals (and here) (EAJournals),https://beallslist.net/,6/13/20 6:49 PM
325,European Center for Science Education and Research (EUSER),http://euser.org/,6/13/20 6:49 PM
326,European Journals of Business Management (EJoBM),http://www.ejobm.org/,6/13/20 6:49 PM
327,European Journals of Education Studies,http://oapub.org/edu/index.php/index,6/13/20 6:49 PM
328,The European Scientific Community,http://europe-science.com/en/,6/13/20 6:49 PM
329,European Union Research Publishing,http://www.eurpub.com/,6/13/20 6:49 PM
330,Everant,http://everant.in/,6/13/20 6:49 PM
331,EverScience Publications,http://www.everscience.org/index.html,6/13/20 6:49 PM
332,"ExcelingTech Publishing Company, Ltd.",http://ojs.excelingtech.co.uk/,6/13/20 6:49 PM
333,Excellent Publishers,http://www.excellentpublishers.com/,6/13/20 6:49 PM
334,Excellent Word Journals,http://www.excellentwordjournals.org/index.html,6/13/20 6:49 PM
335,Excelytics Publishers,http://excelyticspublishers.com/,6/13/20 6:49 PM
